#{"t_start": 1762105670.2814658, "env_id": "None"}
r,l,t
-2803.698056,594,5.051867
5827.232152,1387,8.52373
1629.369493,1151,11.28537
4914.087879,1384,14.268085
1957.188497,1686,18.615793
13715.967748,2700,27.911049
9257.362221,1017,30.584187
1274.618577,1437,33.753453
-310.645276,838,35.99565
438.150855,1539,39.374252
1682.000968,1119,42.164694
3779.764224,1394,48.523102
5287.189842,1428,52.055836
5297.42202,1781,56.229129
7293.331048,1884,61.292291
-1113.315663,1416,65.013006
6640.086753,1568,72.056812
-3699.822136,911,74.308693
2834.48228,933,76.709003
1213.683773,1317,79.679336
19350.716063,2325,84.022225
5199.053395,1409,87.380111
1223.982097,340,88.875924
-70.532703,414,90.362941
-3745.637621,884,96.449287
9296.048901,1175,99.358105
-2451.449476,414,100.985154
6541.836888,414,102.534149
-5156.155383,848,104.883639
-1439.903892,1102,107.618172
-2064.022834,808,110.012119
-369.708874,768,112.056521
-1783.805234,969,114.346308
9994.822687,1968,119.980524
-455.251048,883,121.746758
6850.052367,414,123.200772
-2657.529406,414,124.460582
-4327.583751,536,126.159546
2480.572622,414,127.729921
3470.807379,1194,129.945443
4216.519136,340,131.255872
3069.374585,1225,133.409047
20825.962201,2700,140.746988
6364.649431,340,142.08496
2451.144287,1103,144.640937
-4678.48261,905,146.935268
15605.222578,1616,150.515657
11683.48447,1427,153.472722
6223.20632,1391,156.789529
1785.308907,1635,162.567762
7344.183878,979,164.64703
12342.681422,1122,167.187771
176.645691,963,169.290002
9931.61692,971,171.625164
-9691.809247,709,173.921947
6067.7003,882,176.073931
3685.165659,1405,181.776497
13311.559191,1807,185.509326
6285.742178,426,186.922441
12187.283014,1302,189.985116
12699.347418,1789,193.809452
-5775.240135,887,195.89858
-6129.292982,572,197.431012
-3689.190397,933,199.535781
4986.213127,340,203.025332
10441.969845,775,204.813123
14526.380703,1609,207.781904
-2534.11464,826,209.398397
4717.117011,1579,212.160201
4237.252795,887,214.101302
12004.995936,1321,216.246402
4159.120019,1009,218.431925
13788.726738,1904,224.147195
4930.73647,1220,226.587109
5470.699073,1574,229.350981
10707.101765,1287,231.884467
10136.680817,1491,234.598856
4750.864385,1524,239.7537
3863.022404,1175,242.087805
4104.138596,987,244.208586
687.266504,340,245.324516
-210.851911,1255,247.713827
6945.567481,1638,250.610933
-2510.414007,817,252.489462
9385.224106,1193,257.22722
4472.336031,1433,259.956859
4931.639736,340,261.043856
4120.538643,704,262.758098
6180.958769,414,263.908977
3710.006278,340,265.113732
4291.406041,1533,268.141588
-2821.194305,1076,270.328129
2435.928306,340,271.418578
2906.138224,1236,273.771759
4818.679179,885,278.100202
6871.948519,1262,280.544005
5027.337439,414,281.747459
20171.398183,2695,286.092408
184.561327,1073,288.397534
7791.605139,1146,290.898843
6445.383828,1157,295.637217
12071.749895,989,297.793171
7512.24536,784,299.624689
10046.756177,1113,301.962849
6292.115651,955,303.954184
8377.695732,1646,306.341303
2533.504372,1088,308.44255
11725.0853,2700,315.313391
5530.933786,899,317.422495
5647.95478,2039,321.718489
7145.745291,1010,323.991843
2021.654016,1104,326.55263
-3761.241977,1139,329.289979
13301.699763,1345,334.999419
-2288.95932,731,336.899619
13131.73652,1298,339.770791
10374.931093,1422,342.752259
4347.88405,340,343.943034
-44.113199,1692,347.331641
-5817.476074,958,349.640568
7888.195342,698,351.67282
893.934478,884,356.172691
5114.67139,779,357.969741
5864.469167,340,359.125263
-1178.372944,892,361.304601
11981.863669,2128,364.93426
13642.030783,2053,367.806209
3966.003231,1165,370.455217
-4607.155341,914,374.974227
-5287.56945,1413,378.027414
3457.988542,967,380.257137
11626.38581,1308,382.968683
1983.487831,1035,385.370713
5872.611751,1121,387.972092
5605.368692,1078,390.457993
1213.736051,1421,395.838402
9572.764802,1488,398.944508
6302.060483,1796,401.872978
7317.883758,1023,404.430792
3859.653573,1085,407.050762
8108.02914,922,409.251323
1102.605557,683,411.225108
13598.557474,1442,416.982888
3458.838347,1882,420.684949
3843.935879,1198,423.26242
9871.805996,1592,426.588634
2017.877773,1040,428.779425
4844.72746,340,429.95073
8863.907578,850,434.461071
6066.969109,1663,437.396858
-9544.302695,848,439.565437
2318.218882,942,441.851427
8225.13584,1655,445.327136
5465.108219,1395,448.381947
-0.037413,1396,451.536957
6687.371112,426,455.712614
10065.441519,1272,458.324426
10535.069121,1146,461.069068
3308.386159,887,463.335672
11353.743729,846,465.711265
15106.319191,1434,469.100722
4972.249206,1490,472.526351
-1386.672317,943,477.741188
5440.086936,1016,480.166484
9613.825351,973,482.67141
-2382.922782,876,485.290088
11031.352887,1584,488.328391
1376.652616,417,489.601463
6805.859588,763,491.563098
7385.581508,1386,494.167439
10332.517235,1985,500.16366
-5923.035022,986,502.258834
4908.333212,1152,504.64109
7864.046141,1734,507.151674
6539.824506,1129,509.573284
10034.68091,1680,512.723321
6036.40871,876,517.986871
723.548672,1251,521.322274
10932.576472,1246,524.203843
10135.15926,1231,527.209857
5412.814325,340,528.633108
-914.219893,1175,531.642874
6468.79666,1006,534.305763
15493.941316,2491,541.470361
5462.999492,1674,544.730695
